"","X","Gender","GPA","ReligImp","MissClass","Seat","PartyDays","StudyHrs"
"150",153,"Female",3.08,"Fairly",0,"Front",12,4
"151",154,"Female",3.7,"Not",1,"Middle",14,19
"152",155,"Male",3.3,"Not",0,"Middle",0,28
"153",156,"Female",2.89,"Very",0,"Middle",3,10
"154",157,"Female",1.5,"Fairly",1,"Middle",4,20
"155",158,"Female",3,"Not",1,"Back",5,20
"156",159,"Male",1.96,"Fairly",2,"Back",9,25
"157",160,"Female",3.02,"Fairly",1,"Middle",10,13
"158",161,"Male",3.01,"Very",4,"Middle",15,7
"159",162,"Male",3.26,"Not",0,"Middle",5,20
"160",163,"Female",3.33,"Fairly",0,"Front",6,20
"161",164,"Female",3.64,"Fairly",0,"Middle",12,9
"162",165,"Male",3.21,"Fairly",1,"Back",16,4
"163",166,"Female",3.08,"Very",1,"Back",16,50
"164",167,"Female",3.87,"Fairly",0,"Middle",6,10
"165",168,"Male",3.54,"Not",0,"Middle",2,7
"166",169,"Female",2.8,"Very",2,"Middle",8,6
"167",170,"Female",3.87,"Very",0,"Front",0,14
"168",171,"Male",3.42,"Fairly",0,"Middle",4,25
"169",172,"Male",2.6,"Not",1,"Back",8,4
"170",173,"Male",3.54,"Not",0,"Middle",2,20
"171",174,"Male",3.7,"Not",0,"Middle",13,10
"172",175,"Female",3.62,"Very",1,"Middle",14,4
"173",176,"Male",3.2,"Fairly",0,"Middle",15,10
"174",177,"Female",3.08,"Fairly",2,"Middle",15,40
"175",178,"Female",2.37,"Fairly",1,"Front",3,30
"176",179,"Female",3.55,"Fairly",0,"Middle",7,8
"177",180,"Male",2.88,"Not",0,"Middle",1,5
"178",181,"Male",3.39,"Not",1,"Middle",2,20
"179",182,"Male",2.99,"Fairly",3,"Middle",12,15
"180",183,"Female",3.2,"Very",0,"Middle",1,14
"181",184,"Male",3.07,"Fairly",0,"Middle",5,20
"182",185,"Female",3,"Fairly",0,"Front",9,15
"183",186,"Female",2.67,"Very",2,"Middle",5,7
"184",187,"Male",2.79,"Fairly",1,"Front",2,5
"185",188,"Female",3.38,"Very",0,"Middle",6,25
"186",189,"Male",3.2,"Very",1,"Middle",6,10
"187",190,"Female",3.26,"Very",1,"Front",2,6
"188",191,"Female",3.73,"Fairly",0,"Middle",13,30
"189",192,"Female",3.28,"Very",0,"Front",2,28
"190",193,"Female",3.87,"Very",0,"Front",6,15
"191",194,"Male",2.8,"Not",1,"Middle",20,5
"192",195,"Male",3.41,"Very",0,"Back",2,10
"193",196,"Male",1.74,"Not",0,"Front",4,14
"194",197,"Female",3.25,"Not",3,"Back",16,3
"195",198,"Female",3.44,"Not",0,"Middle",12,7
"196",199,"Male",3.4,"Not",0,"Middle",6,21
"197",200,"Male",2.18,"Fairly",1,"Front",3,30
"198",201,"Female",3.34,"Fairly",3,"Middle",20,6
"199",202,"Female",3.5,"Fairly",0,"Front",1,14
"200",203,"Female",3.45,"Fairly",0,"Front",2,12
"201",204,"Male",2.9,"Not",1,"Middle",13,12
"202",205,"Female",3.33,"Not",1,"Middle",1,5
"203",206,"Male",3.15,"Very",0,"Front",3,4
"204",207,"Male",2.54,"Fairly",2,"Back",3,30
"205",208,"Male",3.3,"Not",0,"Front",5,15
"206",209,"Female",3.6,"Very",1,"Middle",17,16
"207",210,"Male",3.59,"Not",0,"Middle",5,15
"208",211,"Female",3.61,"Fairly",1,"Middle",16,5
"209",212,"Female",2.99,"Fairly",2,"Middle",13,3
"210",213,"Male",2.8,"Not",2,"Middle",8,5
"211",214,"Male",2.87,"Fairly",0,"Middle",12,15
"212",215,"Female",3.42,"Not",0,"Middle",10,10
"213",216,"Male",2.94,"Very",0,"Middle",6,6
"214",217,"Female",3.5,"Fairly",0,"Middle",8,12
"215",218,"Female",3.2,"Very",0,"Middle",5,50
"216",219,"Female",3.25,"Not",1,"Middle",16,20
"217",220,"Male",2.5,"Not",4,"Back",5,4
"218",221,"Male",3,"Fairly",0,"Back",1,2
"219",222,"Male",3.83,"Not",2,"Front",1,20
"220",223,"Male",3.58,"Very",2,"Back",8,25
"221",224,"Male",3.53,"Fairly",2,"Middle",8,25
"222",225,"Male",3.89,"Not",2,"Back",10,10
"223",226,"Male",2.2,"Fairly",2,"Front",4,2
"224",227,"Female",3,"Very",1,"Front",8,15
"225",228,"Female",3.7,"Very",1,"Middle",8,10
"226",229,"Female",3.69,"Fairly",0,"Middle",15,7
"227",230,"Female",2.9,"Very",1,"Middle",8,10
"228",231,"Female",4,"Very",0,"Front",3,25
"229",232,"Female",2.9,"Very",1,"Middle",8,6
"230",233,"Female",3.22,"Not",2,"Middle",1,10
"231",234,"Female",3.35,"Not",0,"Middle",25,6
"232",235,"Female",3.4,"Fairly",0,"Middle",19,22
"233",236,"Female",3.8,"Not",1,"Middle",5,2
"234",237,"Female",3.67,"Very",0,"Middle",5,16
"235",238,"Male",2.78,"Fairly",1,"Middle",15,10
"236",239,"Male",3,"Fairly",1,"Middle",7,10
"237",240,"Female",3.2,"Fairly",2,"Back",15,10
"238",241,"Female",3.13,"Very",0,"Middle",10,8
"239",242,"Male",3.18,"Not",1,"Back",6,10
"240",243,"Female",3.33,"Not",2,"Front",16,7
"241",244,"Male",3.07,"Fairly",0,"Middle",8,6
"242",245,"Female",3.87,"Not",0,"Back",4,4
"243",246,"Male",3.18,"Not",3,"Back",12,8
"244",247,"Female",2.83,"Fairly",0,"Front",1,5
"245",248,"Male",3.25,"Not",0,"Middle",0,6
"246",249,"Female",3.1,"Fairly",0,"Front",10,10
"247",250,"Male",2.5,"Not",1,"Middle",8,16
"248",251,"Female",3.3,"Not",0,"Back",12,10
"249",252,"Male",2.27,"Not",4,"Back",1,5
"250",253,"Male",3.42,"Fairly",2,"Middle",5,4
"251",254,"Female",3.32,"Fairly",1,"Middle",10,7
"252",255,"Female",3.54,"Not",1,"Front",12,9
"253",256,"Female",3.67,"Fairly",0,"Middle",0,25
"254",257,"Female",1.93,"Fairly",2,"Middle",3,5
"255",258,"Male",3.2,"Fairly",0,"Front",2,20
"256",259,"Female",3.18,"Not",1,"Back",10,10
"257",260,"Female",3.5,"Fairly",0,"Middle",3,7
"258",261,"Female",3.3,"Fairly",1,"Middle",18,10
"259",262,"Female",3.43,"Fairly",1,"Front",1,12
"260",263,"Male",3.08,"Not",3,"Back",20,10
"261",264,"Female",3.65,"Very",1,"Front",19,30
"262",265,"Male",3.7,"Fairly",0,"Back",0,22
"263",266,"Female",3.2,"Fairly",0,"Middle",4,20
"264",267,"Female",3.4,"Very",2,"Front",31,2
"265",268,"Male",3.2,"Fairly",1,"Middle",7,5
"266",269,"Male",2.08,"Not",2,"Middle",10,4
"267",270,"Female",3.92,"Very",0,"Middle",3,15
"268",271,"Female",3.93,"Not",0,"Middle",6,10
"269",272,"Female",3.5,"Not",1,"Middle",10,15
"270",273,"Female",3.85,"Not",0,"Front",2,20
"271",274,"Female",3.5,"Not",2,"Middle",11,5
"272",275,"Female",3.62,"Fairly",4,"Middle",16,2
"273",276,"Male",3,"Fairly",1,"Middle",4,15
"274",277,"Female",3.22,"Fairly",1,"Middle",15,14
"275",278,"Male",2.84,"Fairly",0,"Back",12,5
"276",279,"Male",3.33,"Not",2,"Middle",15,14
"277",280,"Female",3.72,"Fairly",0,"Middle",10,5
"278",281,"Female",3.94,"Very",0,"Middle",10,20
"279",282,"Male",3.95,"Not",5,"Back",2,10
"280",283,"Female",3.16,"Fairly",0,"Back",15,13
"281",284,"Male",2.9,"Fairly",1,"Middle",8,8
"282",285,"Male",3,"Fairly",1,"Middle",2,12
"283",286,"Male",2.17,"Not",2,"Middle",10,10
"284",287,"Male",3.35,"Fairly",0,"Front",10,27
"285",288,"Male",2.8,"Fairly",0,"Front",6,15
"286",289,"Female",2.88,"Fairly",2,"Middle",2,7
"287",290,"Female",3.4,"Very",0,"Middle",8,15
"288",291,"Male",3.21,"Very",0,"Middle",3,18
"289",292,"Male",3.65,"Fairly",1,"Back",20,15
"290",293,"Female",2.82,"Very",0,"Middle",12,14
"291",294,"Female",3.25,"Very",0,"Front",3,20
"292",295,"Female",3.93,"Not",3,"Back",3,3
"293",296,"Male",3,"Not",3,"Back",0,15
"294",297,"Female",3.81,"Fairly",3,"Middle",4,2
"295",298,"Male",2.13,"Very",0,"Middle",0,12
"296",299,"Female",3.3,"Not",0,"Front",5,40
"297",300,"Male",4,"Not",0,"Middle",0,20
"298",301,"Male",2.3,"Not",1,"Back",1,3
"299",302,"Female",3.5,"Not",2,"Back",9,3
"300",303,"Male",3.86,"Fairly",1,"Back",15,20
"301",304,"Female",3.3,"Not",1,"Middle",5,9
"303",306,"Female",3,"Very",0,"Middle",1,20
"304",307,"Male",3.49,"Not",0,"Middle",2,15
"305",308,"Female",3.2,"Very",0,"Middle",3,15
"306",309,"Male",3.25,"Fairly",0,"Middle",0,5
"307",310,"Female",3.91,"Not",0,"Middle",5,10
"308",311,"Female",3.5,"Fairly",0,"Middle",1,7
"309",312,"Male",3.63,"Fairly",0,"Front",2,12
"310",313,"Male",2.8,"Not",4,"Middle",10,10
"311",314,"Male",3.2,"Not",1,"Middle",10,10
"312",315,"Male",2.92,"Not",1,"Middle",10,15
"313",316,"Male",3.11,"Fairly",0,"Middle",8,15
"314",317,"Male",3.13,"Fairly",0,"Back",0,0
"315",318,"Female",2.72,"Not",1,"Middle",20,12
"316",319,"Female",3.63,"Very",1,"Front",1,35
"317",320,"Male",3,"Very",0,"Middle",4,40
"318",321,"Male",2.86,"Fairly",1,"Middle",15,5
"319",322,"Female",3.51,"Very",1,"Middle",2,6
"320",323,"Female",3.3,"Fairly",1,"Middle",5,15
"321",324,"Female",3.6,"Fairly",0,"Front",12,10
"322",325,"Male",3.2,"Very",2,"Back",2,6
"323",326,"Female",2.4,"Very",0,"Front",2,30
"324",327,"Female",3,"Fairly",3,"Middle",15,6
"325",328,"Female",3.74,"Very",0,"Middle",3,30
"326",329,"Male",4,"Not",0,"Front",5,10
"327",330,"Male",3.75,"Very",3,"Back",8,3
"328",331,"Male",2.5,"Very",4,"Middle",8,4
"329",332,"Female",2.75,"Not",1,"Back",5,15
"330",333,"Male",3.1,"Not",1,"Middle",7,8
"331",334,"Female",3.15,"Not",1,"Front",4,15
"332",335,"Female",2.97,"Not",1,"Middle",8,13
"333",336,"Male",2.81,"Very",0,"Middle",5,6
"334",337,"Male",3.7,"Very",0,"Front",2,16
"335",338,"Male",3.2,"Fairly",2,"Back",28,10
"336",339,"Female",3.67,"Not",0,"Front",3,20
"337",340,"Male",2.5,"Fairly",1,"Front",9,5
"338",341,"Male",2.7,"Fairly",1,"Middle",15,4
"339",342,"Female",3.75,"Fairly",0,"Middle",5,11
"340",343,"Male",2.4,"Fairly",1,"Back",8,4
"341",344,"Female",3.7,"Very",1,"Middle",15,20
"342",345,"Male",3,"Not",1,"Middle",10,12
"343",346,"Male",2.5,"Not",1,"Back",10,5
"344",347,"Male",3.61,"Very",1,"Back",0,20
"345",348,"Male",3,"Fairly",0,"Back",10,21
"346",349,"Male",2.5,"Not",3,"Back",12,12
"347",350,"Male",3.87,"Not",0,"Middle",3,40
"348",351,"Male",3.43,"Not",1,"Back",6,12
"349",352,"Female",3.49,"Not",2,"Back",5,4
"350",353,"Female",2.7,"Fairly",2,"Middle",8,6
"351",354,"Female",3.18,"Fairly",0,"Middle",15,13
"352",355,"Male",2.7,"Not",1,"Middle",10,8
"353",356,"Female",3.45,"Fairly",0,"Middle",9,9
"354",357,"Female",3.5,"Fairly",0,"Back",5,40
"355",358,"Male",2.99,"Not",1,"Back",5,10
"356",359,"Male",2.25,"Not",0,"Middle",4,10
"357",360,"Male",3.21,"Fairly",1,"Front",10,4
"358",361,"Male",3.2,"Fairly",0,"Front",7,5
"359",362,"Female",3.96,"Fairly",0,"Front",5,7
"360",363,"Female",3.52,"Fairly",1,"Middle",8,13
"361",364,"Male",3.48,"Fairly",2,"Middle",12,12
"362",365,"Female",3.2,"Fairly",0,"Back",15,15
"363",366,"Female",3.88,"Fairly",0,"Back",15,12
"364",367,"Female",3,"Fairly",0,"Middle",15,4
"365",368,"Male",3.15,"Fairly",2,"Back",12,10
"366",369,"Female",3.67,"Very",0,"Front",8,6
"367",370,"Male",3.93,"Fairly",0,"Middle",9,10
"368",371,"Male",2.8,"Fairly",0,"Middle",12,10
"369",372,"Male",2.7,"Fairly",2,"Back",10,10
"370",373,"Female",2.75,"Very",0,"Middle",1,9
"371",374,"Female",2.67,"Fairly",0,"Middle",8,10
"372",375,"Female",2.7,"Fairly",2,"Middle",10,21
"373",376,"Female",3.25,"Fairly",0,"Middle",5,15
"374",377,"Male",2.7,"Fairly",0,"Middle",8,20
"375",378,"Female",3.6,"Fairly",1,"Middle",10,15
"376",379,"Male",3.39,"Fairly",0,"Middle",13,11
"377",380,"Male",3.4,"Fairly",2,"Back",11,15
"378",381,"Female",3.4,"Fairly",2,"Middle",20,6
"379",382,"Male",3.79,"Not",0,"Back",8,15
"380",383,"Male",3,"Fairly",3,"Back",12,10
"381",384,"Female",2.67,"Fairly",0,"Front",20,12
"382",385,"Female",2.8,"Fairly",1,"Back",12,15
"383",386,"Female",3.1,"Very",2,"Back",10,10
"384",387,"Male",4,"Fairly",1,"Back",12,10
"385",388,"Male",2.67,"Fairly",0,"Middle",25,5
"386",389,"Female",3.3,"Not",1,"Middle",16,7
"387",390,"Male",3.2,"Not",0,"Front",0,11
"388",391,"Female",2.9,"Not",0,"Middle",15,15
"389",392,"Female",3.3,"Not",0,"Front",0,10
"390",393,"Female",3.4,"Fairly",1,"Middle",8,12
"391",394,"Female",3.05,"Fairly",1,"Front",2,8
"392",395,"Male",3.41,"Fairly",3,"Middle",15,15
"393",396,"Male",3.09,"Very",1,"Back",8,5
"394",397,"Male",2.95,"Not",2,"Middle",20,10
"395",398,"Female",3.03,"Not",0,"Back",12,12
"396",399,"Male",3.63,"Fairly",1,"Middle",2,20
"397",400,"Male",2.33,"Very",2,"Back",18,10
"398",401,"Female",2.5,"Fairly",1,"Middle",3,10
"399",402,"Female",3.48,"Fairly",2,"Back",15,10
"400",403,"Female",2.26,"Fairly",0,"Middle",10,12
"401",404,"Female",3.92,"Not",1,"Back",12,18
"402",405,"Male",3.75,"Very",0,"Middle",10,20
"403",406,"Male",3,"Fairly",1,"Middle",3,9
"404",407,"Male",3,"Fairly",2,"Back",5,7
"405",408,"Male",3.98,"Not",0,"Middle",6,55
"406",409,"Male",1.79,"Not",0,"Middle",4,4
"407",410,"Male",3.32,"Fairly",2,"Middle",5,4
"408",411,"Female",3.89,"Fairly",0,"Front",6,30
"409",412,"Male",2.6,"Fairly",1,"Front",5,25
"410",413,"Female",3.1,"Fairly",2,"Back",12,8
"411",414,"Female",3,"Not",1,"Middle",12,30
"412",415,"Female",2.6,"Fairly",2,"Middle",9,10
"413",416,"Male",3.42,"Fairly",2,"Middle",2,3
"414",417,"Female",3.3,"Not",0,"Back",0,12
"415",418,"Female",2.9,"Fairly",1,"Middle",10,10
"416",419,"Female",3.18,"Fairly",1,"Middle",15,4
"417",420,"Male",2.97,"Very",1,"Front",5,20
"418",421,"Female",2.5,"Not",2,"Back",15,4
"419",422,"Female",2.2,"Not",0,"Middle",2,30
"420",423,"Male",3.02,"Very",0,"Middle",0,40
"421",424,"Male",3.09,"Very",2,"Middle",2,6
"422",425,"Male",4,"Not",0,"Front",31,1
"423",427,"Male",2.3,"Fairly",1,"Back",10,6
"424",428,"Male",2.71,"Very",0,"Middle",5,30
"425",429,"Female",3.3,"Fairly",1,"Front",0,50
"426",430,"Male",2.75,"Fairly",0,"Middle",12,10
"427",431,"Female",3.01,"Not",2,"Back",6,12
"428",432,"Male",3.7,"Very",1,"Front",0,2
"429",433,"Female",3.58,"Fairly",1,"Middle",10,9
"430",434,"Female",3.7,"Fairly",0,"Middle",15,17
"431",436,"Female",3.19,"Fairly",0,"Front",0,8
"432",437,"Female",3.5,"Very",2,"Middle",4,10
"433",438,"Female",4,"Not",1,"Middle",31,10
"434",439,"Male",3.6,"Fairly",0,"Middle",17,35
"435",440,"Female",3.56,"Very",0,"Front",0,13
"436",441,"Male",3,"Fairly",3,"Middle",1,5
"437",442,"Female",3.3,"Fairly",0,"Middle",14,12
"438",443,"Female",2.6,"Fairly",1,"Middle",5,12
"439",444,"Male",2.8,"Not",2,"Front",10,20
"440",445,"Female",2.8,"Fairly",2,"Middle",4,4
"441",446,"Female",2.8,"Fairly",0,"Middle",10,10
"442",447,"Female",3.56,"Fairly",1,"Middle",1,7
"443",448,"Female",3.08,"Fairly",0,"Middle",8,6
"444",449,"Male",3.2,"Not",5,"Back",12,3
"445",450,"Male",2.5,"Very",0,"Middle",4,8
"446",451,"Female",2.65,"Fairly",0,"Middle",16,20
"447",452,"Female",3,"Very",0,"Front",1,12
"448",453,"Male",3.04,"Not",2,"Middle",12,10
"449",454,"Male",3.3,"Fairly",3,"Middle",8,12
"450",455,"Female",3.24,"Not",1,"Middle",6,3
"451",456,"Male",2.17,"Very",4,"Back",0,3
"452",457,"Male",3.21,"Very",2,"Middle",6,20
"453",458,"Male",3.07,"Not",1,"Front",10,15
"454",459,"Female",2.8,"Fairly",1,"Middle",1,25
"455",460,"Male",3.15,"Not",2,"Middle",4,5
"456",461,"Female",2.94,"Fairly",1,"Back",1,3
"457",462,"Female",2.5,"Not",0,"Middle",1,6
"458",463,"Female",3.92,"Very",1,"Middle",4,30
"459",464,"Male",3.36,"Not",0,"Middle",0,3
"460",465,"Female",3,"Fairly",0,"Middle",8,7
"461",466,"Female",4,"Fairly",0,"Middle",0,10
"462",467,"Female",4,"Not",0,"Front",2,8
"463",468,"Female",3.6,"Not",0,"Front",8,10
"464",469,"Female",3.54,"Very",0,"Middle",4,10
"465",470,"Female",2.51,"Not",2,"Middle",16,5
"466",471,"Female",3.36,"Fairly",1,"Middle",12,20
"467",472,"Female",2.6,"Very",2,"Middle",12,6
"468",473,"Female",3.36,"Fairly",1,"Back",6,10
"469",475,"Male",2.99,"Not",2,"Middle",3,8
"470",476,"Female",3.58,"Very",0,"Middle",15,20
"471",477,"Female",3.75,"Very",0,"Front",0,16
"472",478,"Female",3,"Not",1,"Back",10,8
"473",479,"Male",3,"Not",2,"Middle",16,5
"474",480,"Male",2,"Not",4,"Back",9,3
"475",481,"Male",3.24,"Not",2,"Front",12,10
"476",482,"Male",3.2,"Not",1,"Front",4,10
"477",483,"Male",2.91,"Not",1,"Back",9,15
"478",484,"Female",2.5,"Fairly",1,"Middle",12,20
"479",485,"Male",3.58,"Not",0,"Back",10,20
"480",486,"Female",2.8,"Fairly",0,"Middle",7,15
"481",487,"Male",3.7,"Not",1,"Middle",12,15
"482",488,"Female",3.59,"Very",0,"Middle",2,30
"483",489,"Female",3.56,"Fairly",1,"Middle",9,6
"484",490,"Female",3.68,"Fairly",0,"Front",16,10
"485",491,"Male",3.38,"Fairly",0,"Middle",8,12
"486",492,"Female",3,"Fairly",2,"Back",5,8
"487",493,"Male",3.13,"Very",3,"Front",8,4
"488",494,"Female",3.06,"Not",0,"Middle",12,7
"489",495,"Female",3.5,"Not",0,"Front",5,15
"490",496,"Male",3.1,"Not",0,"Middle",6,10
"491",497,"Female",3.07,"Fairly",2,"Middle",5,7
